COUNTRY;SUBBRAND;YEAR;MONTH;SCENARIO;FORECAST;FORECAST_YEAR;AMOUNT
Portugal;Lipton (L3);2023;12;AI_forecast;AI_P02F;2023;7,54356E+15
Great Britain;Lipton (L3);2023;12;AI_forecast;AI_P10F;2023;5,60031E+15
Spain;Pepsi Max (L3);2023;12;AI_forecast;AI_P09F;2023;8,8502E+15
Great Britain;7up (L3);2024;12;AI_forecast;AI_P10F;2023;3,63225E+15
Hungary;Lipton (L3);2023;9;AI_forecast;AI_P03F;2023;3,96176E+16
Norway;Pepsi Regular (L3);2025;2;AI_forecast;AI_P09F;2023;2,66727E+16
Denmark;7up (L3);2023;12;AI_forecast;AI_PF;2023;0
Netherlands;Mountain Dew (L3);2024;4;AI_forecast;AI_P02F;2023;0
Great Britain;Pepsi Max (L3);2023;9;AI_forecast;AI_P02F;2023;1,13856E+23
Italy;Pepsi Regular (L3);2023;4;AI_forecast;AI_P03F;2023;2,07474E+16
Hungary;Pepsi Regular (L3);2024;2;AI_forecast;AI_P09F;2023;7,74392E+15
Czech;7up (L3);2024;12;AI_forecast;AI_P11F;2023;6,40546E+15
Great Britain;7up (L3);2023;9;AI_forecast;AI_P06F;2023;2,13197E+16
Great Britain;7up (L3);2024;7;AI_forecast;AI_P05F;2023;4,33366E+15
Norway;Pepsi Max (L3);2024;11;AI_forecast;AI_P07F;2023;26072428930276700,00
Denmark;Pepsi Max (L3);2025;1;AI_forecast;AI_P12F;2023;3,18214E+15
Great Britain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P09F;2023;1,45631E+16
Norway;Pepsi Regular (L3);2024;10;AI_forecast;AI_P07F;2023;2,84449E+14
Hungary;Lipton (L3);2025;1;AI_forecast;AI_P11F;2023;2,95794E+15
Norway;Pepsi Regular (L3);2024;10;AI_forecast;AI_P10F;2023;2,43836E+16
Spain;Pepsi Regular (L3);2023;12;AI_forecast;AI_P05F;2023;1,34268E+15
Netherlands;Mountain Dew (L3);2023;12;AI_forecast;AI_P09F;2023;0
Netherlands;Pepsi Regular (L3);2024;10;AI_forecast;AI_P05F;2023;5,96039E+14
Netherlands;Pepsi Regular (L3);2023;9;AI_forecast;AI_P06F;2023;5,53577E+15
Czech;Lipton (L3);2024;7;AI_forecast;AI_P07F;2023;3,70161E+15
Spain;Lipton (L3);2025;3;AI_forecast;AI_P11F;2023;9,70222E+15
Great Britain;7up (L3);2024;2;AI_forecast;AI_P10F;2023;8,16369E+15
Netherlands;Pepsi Max (L3);2023;11;AI_forecast;AI_P09F;2023;8756138115998310,00
Italy;7up (L3);2023;6;AI_forecast;AI_P02F;2023;1,86723E+16
Norway;Lipton (L3);2023;12;AI_forecast;AI_P07F;2023;8,9589E+15
Denmark;7up Free (L3);2024;5;AI_forecast;AI_P02F;2023;1,50029E+15
Great Britain;Pepsi Max (L3);2024;2;AI_forecast;AI_P12F;2023;9,64887E+15
Hungary;Mountain Dew (L3);2023;6;AI_forecast;AI_PF;2023;4,35904E+15
Great Britain;Mountain Dew (L3);2023;7;AI_forecast;AI_P06F;2023;2,17876E+16
Czech;Pepsi Max (L3);2023;1;AI_forecast;AI_PF;2023;3,17424E+15
Hungary;7up (L3);2025;4;AI_forecast;AI_P12F;2023;0
Netherlands;Pepsi Max (L3);2024;8;AI_forecast;AI_P05F;2023;1,13841E+15
Norway;Pepsi Max (L3);2023;9;AI_forecast;AI_P06F;2023;2,24115E+16
Norway;Pepsi Regular (L3);2023;10;AI_forecast;AI_P08F;2023;3,50355E+16
Netherlands;Mountain Dew (L3);2023;12;AI_forecast;AI_P08F;2023;0
Norway;Pepsi Regular (L3);2024;4;AI_forecast;AI_P02F;2023;3,34114E+15
Hungary;Lipton (L3);2024;1;AI_forecast;AI_P05F;2023;2,55505E+15
Italy;7up (L3);2024;6;AI_forecast;AI_P03F;2023;2,52571E+15
Norway;Pepsi Max (L3);2025;3;AI_forecast;AI_P10F;2023;2,07904E+15
Czech;Pepsi Regular (L3);2024;5;AI_forecast;AI_P05F;2023;1,04041E+16
Norway;Lipton (L3);2024;1;AI_forecast;AI_P12F;2023;0
Portugal;Pepsi Max (L3);2023;11;AI_forecast;AI_PF;2023;17094662154055500,00
Hungary;Pepsi Max (L3);2024;3;AI_forecast;AI_P02F;2023;5,95767E+13
Hungary;Pepsi Max (L3);2024;9;AI_forecast;AI_P04F;2023;3,77383E+16
Netherlands;Pepsi Regular (L3);2023;12;AI_forecast;AI_P04F;2023;5,86842E+15
Great Britain;Mountain Dew (L3);2023;11;AI_forecast;AI_P04F;2023;1378830671481640,00
Hungary;Pepsi Regular (L3);2024;4;AI_forecast;AI_P12F;2023;9,98854E+15
Denmark;Pepsi Regular (L3);2023;7;AI_forecast;AI_P04F;2023;2,05305E+16
Great Britain;7up (L3);2023;11;AI_forecast;AI_P02F;2023;24912857968258200,00
Norway;Lipton (L3);2024;6;AI_forecast;AI_P10F;2023;4,1334E+15
Denmark;7up Free (L3);2023;4;AI_forecast;AI_P04F;2023;5,05772E+16
Denmark;Pepsi Max (L3);2024;1;AI_forecast;AI_P02F;2023;1,93374E+16
Hungary;Mountain Dew (L3);2023;5;AI_forecast;AI_P02F;2023;4,00382E+16
Great Britain;Pepsi Regular (L3);2024;11;AI_forecast;AI_P12F;2023;1277022488578580,00
Great Britain;Mountain Dew (L3);2024;5;AI_forecast;AI_P03F;2023;1,49922E+15
Great Britain;7up Free (L3);2024;7;AI_forecast;AI_P11F;2023;1,11913E+16
Great Britain;7up Free (L3);2024;12;AI_forecast;AI_P10F;2023;5,35213E+15
Spain;7up Free (L3);2024;1;AI_forecast;AI_P04F;2023;7,01443E+15
Norway;Pepsi Regular (L3);2023;12;AI_forecast;AI_PF;2023;3,66885E+16
Norway;Pepsi Max (L3);2024;7;AI_forecast;AI_P09F;2023;2,51146E+16
Netherlands;Pepsi Regular (L3);2024;12;AI_forecast;AI_P07F;2023;4,26484E+16
Great Britain;Pepsi Max (L3);2025;1;AI_forecast;AI_P10F;2023;7,89979E+15
Great Britain;Pepsi Max (L3);2025;2;AI_forecast;AI_P09F;2023;8,02372E+15
Spain;7up (L3);2024;4;AI_forecast;AI_P02F;2023;3,88829E+15
Denmark;7up Free (L3);2024;6;AI_forecast;AI_P09F;2023;5,04852E+16
Denmark;Pepsi Max (L3);2024;9;AI_forecast;AI_P08F;2023;2,41399E+16
Italy;Pepsi Max (L3);2023;12;AI_forecast;AI_P05F;2023;1,5507E+16
Great Britain;Lipton (L3);2025;1;AI_forecast;AI_P10F;2023;6,12465E+15
Great Britain;Pepsi Regular (L3);2023;11;AI_forecast;AI_P04F;2023;18075099864499100,00
Portugal;7up (L3);2023;9;AI_forecast;AI_PF;2023;4,27355E+16
Hungary;7up (L3);2024;11;AI_forecast;AI_P06F;2023;4301131674943380,00
Netherlands;Pepsi Max (L3);2023;11;AI_forecast;AI_P04F;2023;6807096679253970,00
Spain;Pepsi Regular (L3);2024;1;AI_forecast;AI_P05F;2023;1,32236E+16
Netherlands;Pepsi Regular (L3);2024;3;AI_forecast;AI_P03F;2023;5,18316E+16
Denmark;7up Free (L3);2025;1;AI_forecast;AI_P09F;2023;5,11721E+15
Great Britain;Pepsi Regular (L3);2024;5;AI_forecast;AI_PF;2023;1,14735E+15
Denmark;Pepsi Max (L3);2023;10;AI_forecast;AI_P08F;2023;1,80369E+16
Great Britain;7up Free (L3);2023;6;AI_forecast;AI_P04F;2023;1,31901E+16
Czech;Pepsi Max (L3);2023;10;AI_forecast;AI_P02F;2023;3,51892E+16
Spain;Lipton (L3);2024;6;AI_forecast;AI_P12F;2023;1,10664E+16
Great Britain;7up (L3);2024;7;AI_forecast;AI_P11F;2023;4,87603E+16
Denmark;7up (L3);2023;8;AI_forecast;AI_P05F;2023;0
Norway;Pepsi Max (L3);2023;5;AI_forecast;AI_PF;2023;2,03E+16
Denmark;Mountain Dew (L3);2024;2;AI_forecast;AI_P11F;2023;2,08214E+15
Hungary;7up Free (L3);2024;1;AI_forecast;AI_P08F;2023;2,92194E+16
Norway;7up Free (L3);2024;1;AI_forecast;AI_P12F;2023;3,70786E+15
Hungary;Pepsi Max (L3);2023;7;AI_forecast;AI_PF;2023;6,57365E+15
Norway;Mountain Dew (L3);2023;10;AI_forecast;AI_P10F;2023;3,76711E+16
Italy;7up (L3);2024;3;AI_forecast;AI_P11F;2023;1,07018E+16
Spain;7up (L3);2024;5;AI_forecast;AI_P11F;2023;4,61473E+15
Hungary;Pepsi Max (L3);2025;1;AI_forecast;AI_P10F;2023;4,54348E+16
Great Britain;Pepsi Regular (L3);2025;1;AI_forecast;AI_P08F;2023;9,24168E+15
Spain;Pepsi Max (L3);2024;8;AI_forecast;AI_P06F;2023;1,13708E+15
Hungary;Pepsi Regular (L3);2024;7;AI_forecast;AI_P05F;2023;1,33232E+16
Spain;7up Free (L3);2023;8;AI_forecast;AI_P08F;2023;8,98326E+15
Denmark;Pepsi Regular (L3);2024;11;AI_forecast;AI_P10F;2023;2266074731180230,00
Portugal;Pepsi Regular (L3);2024;1;AI_forecast;AI_P09F;2023;1,833E+16
Netherlands;Lipton (L3);2024;10;AI_forecast;AI_P08F;2023;1,18955E+15
Czech;Mountain Dew (L3);2024;5;AI_forecast;AI_P07F;2023;8,90698E+15
Great Britain;Pepsi Regular (L3);2024;4;AI_forecast;AI_P04F;2023;1,32836E+16
Great Britain;Mountain Dew (L3);2024;2;AI_forecast;AI_P07F;2023;1,93879E+16
Norway;Mountain Dew (L3);2024;11;AI_forecast;AI_P06F;2023;0,00
Great Britain;7up (L3);2024;10;AI_forecast;AI_P08F;2023;1,10955E+16
Czech;7up (L3);2023;11;AI_forecast;AI_P09F;2023;5370615237858670,00
Netherlands;Pepsi Max (L3);2024;4;AI_forecast;AI_P04F;2023;8,85731E+15
Czech;Pepsi Regular (L3);2024;11;AI_forecast;AI_P10F;2023;9848907746066050,00
Portugal;Pepsi Max (L3);2025;4;AI_forecast;AI_P12F;2023;2,29015E+16
Hungary;Mountain Dew (L3);2025;4;AI_forecast;AI_P11F;2023;3,51006E+14
Norway;7up (L3);2023;9;AI_forecast;AI_P06F;2023;3,21586E+16
Great Britain;7up (L3);2023;8;AI_forecast;AI_P06F;2023;2,22968E+16
Spain;Pepsi Regular (L3);2023;8;AI_forecast;AI_PF;2023;1,6476E+15
Denmark;Pepsi Max (L3);2024;2;AI_forecast;AI_P10F;2023;2,16869E+15
Denmark;Pepsi Max (L3);2024;2;AI_forecast;AI_P07F;2023;1,88539E+16
Great Britain;Lipton (L3);2023;3;AI_forecast;AI_P02F;2023;4,82277E+16
Hungary;7up (L3);2024;8;AI_forecast;AI_P07F;2023;5,76873E+15
Norway;7up (L3);2024;10;AI_forecast;AI_P05F;2023;0
Netherlands;Lipton (L3);2023;11;AI_forecast;AI_P04F;2023;15601434008490200,00
Netherlands;Pepsi Regular (L3);2023;6;AI_forecast;AI_P05F;2023;5,47621E+15
Italy;Pepsi Max (L3);2025;1;AI_forecast;AI_P12F;2023;1,89462E+16
Denmark;Pepsi Max (L3);2025;2;AI_forecast;AI_P11F;2023;2,38502E+16
Denmark;Pepsi Max (L3);2024;8;AI_forecast;AI_P10F;2023;2,33232E+15
Denmark;Pepsi Max (L3);2024;6;AI_forecast;AI_P03F;2023;2,25201E+15
Great Britain;Pepsi Regular (L3);2024;5;AI_forecast;AI_P05F;2023;1,18777E+16
Denmark;Pepsi Max (L3);2024;7;AI_forecast;AI_P06F;2023;2,32785E+15
Great Britain;Lipton (L3);2024;6;AI_forecast;AI_P06F;2023;6,93191E+15
Great Britain;Lipton (L3);2024;7;AI_forecast;AI_P04F;2023;8,89029E+15
Hungary;7up (L3);2024;9;AI_forecast;AI_P12F;2023;2,40316E+15
Spain;Lipton (L3);2024;5;AI_forecast;AI_P05F;2023;1,22198E+16
Netherlands;Lipton (L3);2023;12;AI_forecast;AI_P06F;2023;1,69876E+15
Norway;Lipton (L3);2024;4;AI_forecast;AI_P05F;2023;1,51179E+15
Portugal;7up Free (L3);2023;9;AI_forecast;AI_P06F;2023;1,24868E+16
Great Britain;Pepsi Max (L3);2024;2;AI_forecast;AI_P05F;2023;8,9673E+15
Denmark;7up Free (L3);2024;2;AI_forecast;AI_P06F;2023;1,58324E+15
Spain;Pepsi Max (L3);2023;10;AI_forecast;AI_P07F;2023;1,41119E+16
Hungary;Pepsi Regular (L3);2023;8;AI_forecast;AI_P06F;2023;1,41216E+16
Hungary;Pepsi Regular (L3);2024;5;AI_forecast;AI_P05F;2023;1,53848E+15
Netherlands;Pepsi Max (L3);2024;2;AI_forecast;AI_P06F;2023;8,15455E+15
Spain;Pepsi Regular (L3);2025;2;AI_forecast;AI_P11F;2023;1,37619E+15
Portugal;7up Free (L3);2024;5;AI_forecast;AI_P12F;2023;1,43584E+15
Hungary;Pepsi Max (L3);2024;8;AI_forecast;AI_P06F;2023;5,99294E+15
Hungary;7up (L3);2024;6;AI_forecast;AI_P11F;2023;0
Denmark;Pepsi Regular (L3);2024;7;AI_forecast;AI_P04F;2023;1,89305E+16
Czech;7up (L3);2023;10;AI_forecast;AI_P07F;2023;7,46116E+15
Spain;7up Free (L3);2024;1;AI_forecast;AI_P02F;2023;6,7394E+15
Netherlands;Lipton (L3);2024;2;AI_forecast;AI_P09F;2023;1,06158E+16
Denmark;7up Free (L3);2025;3;AI_forecast;AI_P10F;2023;2,36244E+15
Hungary;Pepsi Max (L3);2024;1;AI_forecast;AI_P06F;2023;3,92854E+15
Great Britain;Lipton (L3);2024;9;AI_forecast;AI_P06F;2023;6,53124E+15
Czech;Pepsi Max (L3);2023;9;AI_forecast;AI_PF;2023;3,98494E+16
Hungary;7up (L3);2024;8;AI_forecast;AI_P08F;2023;5,57008E+15
Spain;7up Free (L3);2023;12;AI_forecast;AI_P08F;2023;7,84697E+15
Spain;Pepsi Regular (L3);2024;8;AI_forecast;AI_P09F;2023;1,73701E+16
Denmark;7up (L3);2023;9;AI_forecast;AI_P06F;2023;0
Norway;Pepsi Max (L3);2024;11;AI_forecast;AI_P07F;2023;30930546232475600,00
Norway;7up Free (L3);2024;3;AI_forecast;AI_P11F;2023;3,58627E+15
Great Britain;Lipton (L3);2024;7;AI_forecast;AI_P10F;2023;7,89593E+14
Spain;Pepsi Max (L3);2024;1;AI_forecast;AI_P07F;2023;9,83417E+15
Denmark;Pepsi Regular (L3);2024;1;AI_forecast;AI_P12F;2023;2,40252E+16
Czech;Pepsi Regular (L3);2023;12;AI_forecast;AI_P10F;2023;1,23495E+16
Netherlands;Lipton (L3);2023;5;AI_forecast;AI_P03F;2023;1,98759E+16
Norway;Pepsi Regular (L3);2024;9;AI_forecast;AI_P10F;2023;3,82931E+16
Denmark;Mountain Dew (L3);2024;10;AI_forecast;AI_P06F;2023;3,63934E+15
Netherlands;Pepsi Max (L3);2024;5;AI_forecast;AI_P02F;2023;7,92411E+15
Netherlands;Pepsi Max (L3);2024;5;AI_forecast;AI_P07F;2023;8,86031E+14
Netherlands;Pepsi Max (L3);2023;6;AI_forecast;AI_P03F;2023;9,82425E+15
Portugal;Pepsi Max (L3);2025;3;AI_forecast;AI_P12F;2023;2,21108E+15
Hungary;Pepsi Max (L3);2023;11;AI_forecast;AI_P11F;2023;389931386182607,00
Czech;Mountain Dew (L3);2023;11;AI_forecast;AI_P11F;2023;7431970604157390,00
Italy;Pepsi Max (L3);2025;1;AI_forecast;AI_P10F;2023;1,83285E+15
Great Britain;Lipton (L3);2024;4;AI_forecast;AI_P11F;2023;6,36495E+15
Great Britain;Pepsi Regular (L3);2023;5;AI_forecast;AI_PF;2023;1,89737E+16
Great Britain;Pepsi Regular (L3);2024;2;AI_forecast;AI_P12F;2023;1,23266E+16
Czech;Pepsi Max (L3);2024;1;AI_forecast;AI_P09F;2023;3,63625E+15
Great Britain;7up Free (L3);2025;2;AI_forecast;AI_P09F;2023;1,28202E+15
Hungary;Pepsi Regular (L3);2023;10;AI_forecast;AI_P06F;2023;1,18791E+16
Great Britain;7up (L3);2024;9;AI_forecast;AI_P12F;2023;1,82534E+16
Netherlands;Pepsi Max (L3);2023;11;AI_forecast;AI_PF;2023;6822855899282030,00
Netherlands;Pepsi Max (L3);2023;8;AI_forecast;AI_P04F;2023;8,68304E+15
Norway;7up (L3);2023;10;AI_forecast;AI_P05F;2023;1,9457E+16
Norway;Pepsi Max (L3);2023;11;AI_forecast;AI_P08F;2023;22758938997557200,00
Hungary;Lipton (L3);2024;10;AI_forecast;AI_P07F;2023;2,99474E+16
Portugal;7up Free (L3);2023;3;AI_forecast;AI_PF;2023;1,03465E+16
Denmark;Pepsi Max (L3);2024;4;AI_forecast;AI_P06F;2023;2,37875E+15
Hungary;Pepsi Regular (L3);2024;1;AI_forecast;AI_PF;2023;1,43255E+16
Spain;Pepsi Max (L3);2023;11;AI_forecast;AI_P07F;2023;12432900168670200,00
Netherlands;Lipton (L3);2023;5;AI_forecast;AI_P02F;2023;1,98375E+16
Great Britain;Pepsi Max (L3);2024;1;AI_forecast;AI_PF;2023;8,56158E+15
Denmark;Pepsi Max (L3);2024;1;AI_forecast;AI_P10F;2023;1,93732E+16
Great Britain;Lipton (L3);2024;11;AI_forecast;AI_P11F;2023;657857285227587,00
Netherlands;Pepsi Max (L3);2024;7;AI_forecast;AI_P02F;2023;8,08471E+15
Spain;7up Free (L3);2024;12;AI_forecast;AI_P09F;2023;8,30093E+15
Portugal;Pepsi Regular (L3);2024;2;AI_forecast;AI_P07F;2023;1,54028E+16
Czech;Pepsi Regular (L3);2024;10;AI_forecast;AI_P06F;2023;8,46792E+14
Portugal;7up Free (L3);2024;3;AI_forecast;AI_PF;2023;1,20116E+16
Hungary;Pepsi Max (L3);2024;11;AI_forecast;AI_P08F;2023;47511385633750200,00
Hungary;Pepsi Max (L3);2025;5;AI_forecast;AI_P12F;2023;4,1853E+15
Portugal;7up (L3);2023;11;AI_forecast;AI_P08F;2023;2442102249198710,00
Spain;Pepsi Max (L3);2024;2;AI_forecast;AI_P09F;2023;1,07132E+16
Norway;7up (L3);2023;4;AI_forecast;AI_P03F;2023;5,11378E+15
Great Britain;7up (L3);2025;5;AI_forecast;AI_P12F;2023;2,05351E+15
Czech;Pepsi Regular (L3);2023;10;AI_forecast;AI_P03F;2023;9,30295E+15
Czech;Pepsi Regular (L3);2023;11;AI_forecast;AI_PF;2023;9451885145523900,00
Portugal;Pepsi Max (L3);2023;6;AI_forecast;AI_P03F;2023;1,95137E+16
Hungary;Pepsi Max (L3);2023;10;AI_forecast;AI_P07F;2023;4,8845E+15
Denmark;Pepsi Max (L3);2024;8;AI_forecast;AI_P11F;2023;2,4579E+16
Hungary;Pepsi Regular (L3);2024;2;AI_forecast;AI_P07F;2023;1,01409E+15
Great Britain;7up (L3);2025;2;AI_forecast;AI_P11F;2023;0
Great Britain;7up (L3);2023;7;AI_forecast;AI_P06F;2023;2,58853E+15
Great Britain;7up (L3);2024;9;AI_forecast;AI_P09F;2023;1,4902E+16
Hungary;Lipton (L3);2023;12;AI_forecast;AI_P09F;2023;2,32025E+16
Norway;Pepsi Regular (L3);2024;3;AI_forecast;AI_P09F;2023;3,37938E+15
Hungary;Lipton (L3);2024;6;AI_forecast;AI_P02F;2023;3,52348E+15
Netherlands;Pepsi Regular (L3);2023;4;AI_forecast;AI_PF;2023;4,99568E+15
Hungary;Pepsi Max (L3);2024;12;AI_forecast;AI_P08F;2023;4,18495E+16
Italy;Pepsi Max (L3);2023;8;AI_forecast;AI_P05F;2023;1,86733E+16
Great Britain;Mountain Dew (L3);2023;12;AI_forecast;AI_P09F;2023;1,59922E+16
Hungary;Pepsi Max (L3);2024;7;AI_forecast;AI_P11F;2023;4,29897E+15
Great Britain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P11F;2023;1,6448E+15
Great Britain;Mountain Dew (L3);2024;6;AI_forecast;AI_P02F;2023;1,55507E+15
Spain;Pepsi Max (L3);2023;7;AI_forecast;AI_P05F;2023;1,55017E+15
Spain;Pepsi Max (L3);2024;5;AI_forecast;AI_P09F;2023;1,34565E+16
Norway;7up (L3);2023;4;AI_forecast;AI_P04F;2023;4,63156E+15
Spain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P09F;2023;1,56545E+16
Netherlands;7up (L3);2023;3;AI_forecast;AI_P02F;2023;1,18054E+16
Portugal;Pepsi Max (L3);2024;8;AI_forecast;AI_P09F;2023;2,66269E+15
Hungary;Pepsi Max (L3);2024;5;AI_forecast;AI_P04F;2023;4,61718E+15
Great Britain;Lipton (L3);2023;12;AI_forecast;AI_P03F;2023;6,52535E+15
Czech;Mountain Dew (L3);2023;12;AI_forecast;AI_P07F;2023;8,78635E+15
Great Britain;Mountain Dew (L3);2023;3;AI_forecast;AI_P02F;2023;2,10168E+15
Spain;7up Free (L3);2024;7;AI_forecast;AI_P12F;2023;8,61219E+15
Spain;Lipton (L3);2023;10;AI_forecast;AI_P02F;2023;8,13937E+15
Great Britain;7up (L3);2024;1;AI_forecast;AI_P02F;2023;2,01914E+16
Netherlands;Lipton (L3);2023;10;AI_forecast;AI_P06F;2023;1,70267E+16
Spain;Pepsi Regular (L3);2024;6;AI_forecast;AI_P10F;2023;1,83737E+15
Great Britain;Lipton (L3);2024;6;AI_forecast;AI_P03F;2023;8,15616E+15
Hungary;Mountain Dew (L3);2023;7;AI_forecast;AI_PF;2023;4,83544E+16
Great Britain;Lipton (L3);2025;1;AI_forecast;AI_P09F;2023;6,73324E+15
Spain;Pepsi Max (L3);2023;5;AI_forecast;AI_P05F;2023;6,51537E+14
Great Britain;7up Free (L3);2023;11;AI_forecast;AI_P03F;2023;14481505935723800,00
Great Britain;7up Free (L3);2024;11;AI_forecast;AI_P09F;2023;1416087148269240,00
Great Britain;7up Free (L3);2024;8;AI_forecast;AI_P10F;2023;1,01236E+15
Denmark;Pepsi Regular (L3);2023;12;AI_forecast;AI_P09F;2023;3,84754E+16
Netherlands;Mountain Dew (L3);2025;3;AI_forecast;AI_P12F;2023;0
Norway;Pepsi Max (L3);2024;4;AI_forecast;AI_P11F;2023;2,22306E+15
Norway;Pepsi Max (L3);2023;4;AI_forecast;AI_P04F;2023;2,47392E+15
Portugal;Pepsi Regular (L3);2023;11;AI_forecast;AI_P11F;2023;17470820842490300,00
Netherlands;Lipton (L3);2023;6;AI_forecast;AI_P05F;2023;2,42838E+15
Netherlands;Lipton (L3);2023;5;AI_forecast;AI_P03F;2023;2,02572E+16
Denmark;Mountain Dew (L3);2023;12;AI_forecast;AI_P09F;2023;9,83288E+15
Hungary;Pepsi Max (L3);2023;12;AI_forecast;AI_P10F;2023;4,88649E+16
Great Britain;Pepsi Max (L3);2025;2;AI_forecast;AI_P12F;2023;8,44198E+14
Hungary;Pepsi Max (L3);2024;7;AI_forecast;AI_P02F;2023;6,61896E+15
Hungary;7up Free (L3);2024;7;AI_forecast;AI_P11F;2023;4,56608E+15
Great Britain;7up Free (L3);2023;9;AI_forecast;AI_P09F;2023;1,25893E+15
Great Britain;7up (L3);2024;1;AI_forecast;AI_P11F;2023;1,86234E+15
Great Britain;7up (L3);2024;8;AI_forecast;AI_P05F;2023;1,06075E+16
Netherlands;Pepsi Max (L3);2024;1;AI_forecast;AI_P03F;2023;8,05674E+15
Spain;Lipton (L3);2024;11;AI_forecast;AI_P09F;2023;12852194449699200,00
Czech;7up (L3);2023;7;AI_forecast;AI_P07F;2023;1,1043E+16
Denmark;7up (L3);2024;1;AI_forecast;AI_P04F;2023;0
Portugal;Pepsi Max (L3);2023;12;AI_forecast;AI_P02F;2023;1,93759E+16
Spain;7up (L3);2023;9;AI_forecast;AI_P08F;2023;9,71523E+14
Hungary;Pepsi Max (L3);2024;1;AI_forecast;AI_P07F;2023;4,26323E+15
Hungary;Pepsi Max (L3);2024;3;AI_forecast;AI_P09F;2023;4,71716E+16
Portugal;7up (L3);2023;12;AI_forecast;AI_P06F;2023;3,00576E+14
Great Britain;Mountain Dew (L3);2025;5;AI_forecast;AI_P12F;2023;1,72859E+16
Denmark;Pepsi Regular (L3);2024;2;AI_forecast;AI_P11F;2023;1,91373E+16
Denmark;Pepsi Max (L3);2025;2;AI_forecast;AI_P11F;2023;2,04979E+16
Italy;Pepsi Regular (L3);2024;10;AI_forecast;AI_P08F;2023;1,78211E+16
Great Britain;7up Free (L3);2024;1;AI_forecast;AI_P05F;2023;1,20434E+16
Netherlands;Pepsi Max (L3);2023;10;AI_forecast;AI_P08F;2023;1,0016E+16
Netherlands;Pepsi Max (L3);2024;12;AI_forecast;AI_P12F;2023;8,87522E+15
Portugal;Pepsi Max (L3);2023;10;actual;null;;1,88595E+16
Portugal;7up (L3);2023;3;actual;null;;2,93497E+15
Portugal;7up (L3);2023;10;actual;null;;3,48447E+16
Great Britain;7up Free (L3);2023;10;actual;null;;1,17255E+16
Norway;Pepsi Regular (L3);2023;10;actual;null;;3,78486E+15
Norway;Pepsi Regular (L3);2023;3;actual;null;;4,58796E+15
Netherlands;7up (L3);2023;10;actual;null;;1,40721E+15
Great Britain;7up Free (L3);2023;11;AI_forecast;AI_P05F;2023;11195908817078500,00
Spain;Pepsi Max (L3);2024;11;AI_forecast;AI_P08F;2023;9741348446066640,00
Spain;Pepsi Max (L3);2024;6;AI_forecast;AI_P07F;2023;8,9609E+13
